BUNDLE:ORIGINAL,dc_title,dc_creator,dc_date_issued,dc_description_abstract,dc_identifier
10000608.pdf,Dynamic urea bonds for reversible and self-healing polymers,"['Cheng, Jianjun', 'Ying, Hanze']",2018-06-19,"The disclosure provides reversible polymers from polyurea by modifying the nitrogen atom with hindered substituents. The reversibility of hindered urea bond (HUB) can be controlled by changing the bulkiness of the substituents, and N-tert-butyl-N-ethylurea (TBEU), with its high binding constant and short lifetime, is applicable in the design of reversible polymer and self-healing materials at mild temperatures without external stimuli. HUB can be used in the design of smart materials with its adjustable reversibility, facile synthesis, and compatibility with many other polymer structures.",10000608
10003317.pdf,Tubular resonant filter and method of making a tubular resonant filter,"['Li, Moyang', 'Huang, Wen', 'Li, Xiuling']",2018-06-19,"A tubular resonant filter comprises a multilayer sheet in a rolled configuration comprising multiple turns about a longitudinal axis, where the multilayer sheet includes a strain-relieved layer, a patterned first conductive layer on the strain-relieved layer, an insulating layer on the patterned first conductive layer, and a patterned second conductive layer on the insulating layer and the patterned first conductive layer. The patterned first and second conductive layers and the insulating layer are interrelated to form a rolled-up inductor connected to a rolled-up capacitor on the strain-relieved layer.",10003317
10013760.pdf,Stain-free histopathology by chemical imaging,"['Bhargava, Rohit']",2018-07-03,"The present disclosure provides methods, systems, and computer-readable storage media that can be used to image an unstained sample. Traditionally histopathology and immunohistochemistry methods use stains or dyes in combination with microscopy (or other detection methods) to detect cells and cellular structures, such as proteins. However, the disclosed methods do not require the use of such stains and dyes. The disclosed methods can include obtaining a spectroscopic image (e.g., infrared (IR) imaging data) of the sample, analyzing the resulting spectroscopic image to reduce the dimensionality of the spectroscopic image, comparing the reduced spectroscopic image compared to a control (e.g., by using an appropriately trained algorithm) and generating an output computed stain image from the reduced IR spectra, thereby imaging the sample without the use of stains or dyes.",10013760
10017469.pdf,Stabilized compositions and methods of manufacture,"['Cadwallader, Keith R.', 'Fang, Ming-Chih']",2018-07-10,"A method for stabilization of potent alkanone-heterocyclic flavorants in dry powder form is provided. Coordination of alkanone-heterocyclic flavorants to transition metal salts results in the formation of stable crystalline complexes, which upon hydration release the free flavorant. Food and topping products containing the stabilized alkanone-heterocyclic flavorant are provided as are methods for stabilizing the alkanone-heterocyclic flavorant.",10017469
10022371.pdf,Procaspase-activating compounds and methods,"['Hergenrother, Paul J.']",2018-07-17,"The invention provides compounds and compositions useful for the modulation of certain enzymes. The compounds and compositions can induce of cell death, particularly cancer cell death. The invention also provides methods for the synthesis and use of the compounds and compositions, including the use of compounds and compositions in therapy for the treatment of cancer and selective induction of apoptosis in cells.",10022371
10023625.pdf,Engineered high-affinity human T cell receptors,"['Smith, Sheena N.', 'Harris, Daniel T.', 'Kranz, David M.']",2018-07-17,"T cell receptors (TCRs) that have higher affinity for the Survivin antigen are provided. The high affinity TCRs were engineered through the generation of mutational libraries of TCRs in a single-chain format, followed by selection for improved stability and affinity on the surface of yeast (i.e. directed evolution). In embodiments, the engineered TCRs can be used in soluble form for targeted delivery in vivo, or as genes introduced into T cells in an adoptive T cell setting.",10023625
10027086.pdf,Maximizing cubic phase group III-nitride on patterned silicon,"['Liu, Richard', 'Bayram, Can']",2018-07-17,"A device including a non-polarization material includes a number of layers. A first layer of silicon (100) defines a U-shaped groove having a bottom portion (100) and silicon sidewalls (111) at an angle to the bottom portion (100). A second layer of a patterned dielectric on top of the silicon (100) defines vertical sidewalls of the U-shaped groove. A third layer of a buffer covers the first layer and the second layer. A fourth layer of gallium nitride is deposited on the buffer within the U-shaped groove, the fourth layer including cubic gallium nitride (c-GaN) formed at merged growth fronts of hexagonal gallium nitride (h-GaN) that extend from the silicon sidewalls (111), wherein a deposition thickness (h) of the gallium nitride above the first layer of silicon (100) is such that the c-GaN completely covers the h-GaN between the vertical sidewalls.",10027086
10029206.pdf,Separation of a target substance from a fluid or mixture using encapsulated sorbents,"['Aines, Roger D.', 'Lewis, Jennifer A.', 'Bourcier, William L.', 'Spadaccini, Christopher M.', 'Duoss, Eric B.', 'Stolaroff, Joshuah K.', 'Vericella, John J.']",2018-07-24,Method and apparatus for separating a target substance from a fluid or mixture. Capsules having a coating and stripping solvents encapsulated in the capsules are provided. The coating is permeable to the target substance. The capsules having a coating and stripping solvents encapsulated in the capsules are exposed to the fluid or mixture. The target substance migrates through the coating and is taken up by the stripping solvents. The target substance is separated from the fluid or mixture by driving off the target substance from the capsules.,10029206
10029451.pdf,Non-contact transfer printing,"['Rogers, John A.', 'Ferreira, Placid M.', 'Saeidpourazar, Reza']",2018-07-24,"A transfer printing process that exploits the mismatch in mechanical or thermo-mechanical response at the interface of a printable micro- or nano-device and a transfer stamp to drive the release of the device from the stamp and its non-contact transfer to a receiving substrate are provided. The resulting facile, pick-and-place process is demonstrated with the assembling of 3-D microdevices and the printing of GAN light-emitting diodes onto silicon and glass substrates. High speed photography is used to provide experimental evidence of thermo-mechanically driven release.",10029451
10030103.pdf,Stable helical ionic polypeptides,"['Cheng, Jianjun', 'Lu, Hua']",2018-07-24,"The invention provides polymers comprising Formula I: wherein monomer is a repeating unit comprising 2, 3, 4, 5, 6 or 7 carbon atoms and the monomers are linked together through amide or ester bonds; n is about 6 to about 1000; and Linker is an optionally substituted carbon chain that is optionally interrupted by moieties such as oxygen, nitrogen, sulfur, phosphorus, or silicon. Charge is a moiety having a positive or negative charge on a heteroatom, such as nitrogen, oxygen, phosphorus, or sulfur; where the Linker separates the monomer and the Charge by at least six linear atoms. The invention also provides methods of preparing the polymers and the copolymers and methods of using the polymers and copolymers, for example, as drug delivery systems, as membrane penetrating peptides, and as therapeutic agents.",10030103
